Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:20:31.231],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.46,1270.00
[16:20:31.257],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.34,1340.00
[16:20:31.283],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1340.00
[16:20:31.304],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1356.00
[16:20:31.330],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.46,1356.00
[16:20:31.356],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.34,1365.00
[16:20:31.382],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.53,1365.00
[16:20:31.408],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.46,1287.00
[16:20:31.439],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1287.00
[16:20:31.465],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1421.00
[16:20:31.486],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.53,1421.00
[16:20:31.512],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.53,1569.00
[16:20:31.538],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.34,1569.00
[16:20:31.564],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.61,1.46,1569.00
[16:20:31.590],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.46,1390.00
[16:20:31.611],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1390.00
[16:20:31.642],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1333.00
